sample_id,source_post_id,stratum,ai_drug_count,ai_drugs,ai_sentiments,ai_signal_strengths,keyword_match
irr-pilot-031,hj632ga,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-032,hoe2zbq,no_ai_drug_random,0,,,,no
irr-pilot-033,hq0pree,no_ai_drug_random,0,,,,no
irr-pilot-034,qxfmld,ai_found_drug,1,narcotics,positive,weak,yes
irr-pilot-035,hnpsu9d,ai_found_drug,1,fexofenadine,positive,strong,yes
irr-pilot-036,hj1rqim,no_ai_drug_random,0,,,,no
irr-pilot-037,hnjkzq4,ai_found_drug,1,vaccine,mixed,strong,no
irr-pilot-038,ho562ye,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-039,hoamm1t,no_ai_drug_random,0,,,,no
irr-pilot-040,hlwtl6t,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-041,hq17jwl,no_ai_drug_random,0,,,,no
irr-pilot-042,hpgiqnb,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-043,ho59ahz,ai_found_drug,1,adderall,positive,moderate,yes
irr-pilot-044,hn3gcea,ai_found_drug,1,cymbalta,negative,strong,yes
irr-pilot-045,hnh0wge,ai_found_drug,2,atenolol|metoprolol,positive|negative,weak|strong,no
irr-pilot-046,hkyoxzc,no_ai_drug_random,0,,,,no
irr-pilot-047,hoyczpo,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-048,qpqqfr,ai_found_drug,1,black seed oil,positive,strong,yes
irr-pilot-049,hkmh5r2,ai_found_drug,4,sertraline|zoloft|fluoxetine|ssri,negative|negative|neutral|negative,strong|strong|weak|moderate,yes
irr-pilot-050,hnglev0,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-051,hpzhxrp,ai_found_drug,2,diuretic|magnesium,negative|positive,strong|strong,yes
irr-pilot-052,hpah3r5,ai_found_drug,1,non drowsy antihistamines,positive,moderate,no
irr-pilot-053,hoek8qm,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-054,hjokw0j,no_ai_drug_random,0,,,,no
irr-pilot-055,hp2rdbu,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-056,hjcwcwo,ai_found_drug,1,serrapeptase,positive,weak,yes
irr-pilot-057,how93jt,ai_found_drug,1,ginkgo biloba,neutral,weak,yes
irr-pilot-058,hq2i1jr,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-059,hjm13ld,ai_found_drug,2,pfizer|vaccine,positive|positive,moderate|moderate,no
irr-pilot-060,hkev99r,ai_found_drug,1,aloe vera juice,positive,weak,no
irr-pilot-061,hq22gmq,no_ai_drug_random,0,,,,no
irr-pilot-062,hmh7jry,ai_found_drug,3,nebulizer|albuterol|inhaler,positive|positive|positive,strong|strong|moderate,no
irr-pilot-063,hmt8oln,no_ai_drug_random,0,,,,no
irr-pilot-064,hpls4ok,no_ai_drug_random,0,,,,no
irr-pilot-065,hjypwqn,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-066,r292d1,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-067,homuics,ai_found_drug,1,pfizer,mixed,weak,no
irr-pilot-068,hj3c5pr,ai_found_drug,2,vaccine|pfizer vaccine,negative|negative,strong|strong,yes
irr-pilot-069,hlpix1f,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-070,hq3wm91,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-071,hpeen1q,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-072,hoky50o,ai_found_drug,1,heart ablation procedure,positive,weak,no
irr-pilot-073,rb6u52,no_ai_drug_random,0,,,,no
irr-pilot-074,hnqlqh9,ai_found_drug,2,alpha blocker|ssri,negative|negative,weak|strong,yes
irr-pilot-075,hnftqo7,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-076,hncgjfg,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-077,hnm1bsd,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-078,hm4kkhv,no_ai_drug_random,0,,,,no
irr-pilot-079,hmmr1zz,ai_found_drug,2,damiana|blue vervain,positive|positive,strong|strong,no
irr-pilot-080,hmxp30x,ai_found_drug,2,medication|probiotics,positive|positive,moderate|weak,no
irr-pilot-081,hq1f80s,no_ai_drug_random,0,,,,no
irr-pilot-082,hqf82eu,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-083,hpx18sk,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-084,hm7uzj0,ai_found_drug,1,vaccine,negative,strong,yes
irr-pilot-085,hprtr23,ai_found_drug,1,metoprolol,positive,moderate,no
irr-pilot-086,hq57pji,ai_found_drug,1,beta blockers,positive,moderate,yes
irr-pilot-087,hl9yan1,ai_found_drug,1,nattokinase,negative,weak,yes
irr-pilot-088,hjg5hdo,no_ai_drug_random,0,,,,no
irr-pilot-089,hmlethy,ai_found_drug,2,powerade zero|electrolytes,negative|negative,weak|moderate,no
irr-pilot-090,hppdbmm,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-091,hmegi2l,ai_found_drug,1,omeprazole,negative,weak,yes
irr-pilot-092,hk3wydk,ai_found_drug,1,vaccine,negative,weak,yes
irr-pilot-093,hmpoau8,ai_found_drug,1,pfizer,mixed,strong,yes
irr-pilot-094,hj8tb79,no_ai_drug_random,0,,,,no
irr-pilot-095,hjcs7pi,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-096,hp8wj4c,no_ai_drug_random,0,,,,no
irr-pilot-097,howwqu8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-098,hklhcx9,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-099,hnmuuwo,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-100,hkw2bl6,ai_found_drug,3,lumbrokinase|serrapeptase|nattokinase,positive|positive|positive,strong|strong|strong,yes
irr-pilot-101,hnmmy02,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-102,hn3quji,no_ai_drug_random,0,,,,no
irr-pilot-103,hqqlz07,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-104,hj43t22,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-105,r89epc,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-106,hmgn2k6,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-107,hm1qup3,ai_found_drug,1,moderna vaccine,negative,strong,no
irr-pilot-108,hns77ph,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-109,hjfrwkv,no_ai_drug_random,0,,,,no
irr-pilot-110,hn7f69s,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-111,hlyhwme,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-112,hphmgfz,no_ai_drug_random,0,,,,no
irr-pilot-113,hqa4mep,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-114,hnw89o7,ai_found_drug,1,prednisone,positive,moderate,yes
irr-pilot-115,hnsr9iv,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-116,hqlqg2b,ai_found_drug,1,effexor,negative,strong,yes
irr-pilot-117,hk4svp7,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-118,hokyty9,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-119,hne5cw3,no_ai_drug_random,0,,,,no
irr-pilot-120,ho0r6m5,ai_found_drug,3,sertraline|zoloft|ssri,mixed|positive|positive,strong|weak|strong,yes
irr-pilot-121,hk29yk5,ai_found_drug,2,acetaminophen|tylenol,negative|negative,strong|strong,yes
irr-pilot-122,hp2earf,ai_found_drug,2,pain relief|medication,positive|positive,moderate|weak,no
irr-pilot-123,hn1t8ig,ai_found_drug,4,vitamin a|vitamin k|vitamin e|vitamin d,positive|positive|positive|positive,strong|strong|strong|strong,no
irr-pilot-124,hov083a,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-125,hol82el,ai_found_drug,2,serrapeptase|nattokinase,positive|positive,strong|strong,yes
irr-pilot-126,hn7tqy3,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-127,hp7z0e5,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-128,hn50jy3,ai_found_drug,1,gabapentin,positive,moderate,yes
irr-pilot-129,hp689zz,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-130,hnxydsy,ai_found_drug,1,vitamins,negative,moderate,yes
irr-pilot-131,hl6yarr,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-132,hjfhuep,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-133,hq15x76,no_ai_drug_random,0,,,,no
irr-pilot-134,hqig9tm,ai_found_drug,3,bronchodilators|inhalers|albuterol,negative|negative|negative,strong|strong|strong,yes
irr-pilot-135,hmwcm1f,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-136,hlas9ju,ai_found_drug,2,h1 antihistamines|hydroxyzine,positive|positive,strong|strong,no
irr-pilot-137,hq78qvk,ai_found_drug,2,tea|mullein,positive|positive,strong|strong,no
irr-pilot-138,hp03ig5,ai_found_drug,2,super strength turmeric|turmeric,positive|positive,weak|weak,yes
irr-pilot-139,hq896p6,no_ai_drug_random,0,,,,no
irr-pilot-140,hkv64op,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-141,hqk96b0,ai_found_drug,1,maraviroc,positive,weak,yes
irr-pilot-142,hlyl7fb,no_ai_drug_random,0,,,,no
irr-pilot-143,hluw2tn,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-144,hogkw02,no_ai_drug_random,0,,,,no
irr-pilot-145,hq92r3o,no_ai_drug_random,0,,,,no
irr-pilot-146,hoph1vk,ai_found_drug,1,nattokinase,positive,moderate,no
irr-pilot-147,hlluypw,ai_found_drug,9,goji berry|cloves|beet powder|star anise|elderberry|hibiscus|spirulina|turmeric|supplements,positive|positive|positive|positive|positive|positive|positive|positive|positive,weak|weak|weak|weak|weak|weak|weak|weak|weak,no
irr-pilot-148,hpw7dmg,ai_found_drug,2,fluconazole|vitamin d3,positive|positive,strong|strong,yes
irr-pilot-149,hl5t3of,ai_found_drug,1,inhalers,positive,weak,no
irr-pilot-150,hk95pnu,ai_found_drug,2,flu shot|pfizer,negative|negative,moderate|weak,no
irr-pilot-151,hofzsmb,no_ai_drug_random,0,,,,no
irr-pilot-152,hnsdy9j,ai_found_drug,1,aspirin,positive,moderate,yes
irr-pilot-153,hkdxxnb,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-154,hqkmdou,ai_found_drug,1,lidocaine,negative,strong,yes
irr-pilot-155,hkbcokm,ai_found_drug,1,serrapeptase,positive,weak,no
irr-pilot-156,hq2mtrj,ai_found_drug,1,amitriptyline,positive,strong,yes
irr-pilot-157,hoxamz7,no_ai_drug_random,0,,,,no
irr-pilot-158,hjg5k9r,no_ai_drug_random,0,,,,no
irr-pilot-159,hjesb5r,no_ai_drug_random,0,,,,no
irr-pilot-160,hmut3nu,ai_found_drug,1,vaccine,positive,strong,no
irr-pilot-161,hoxjpk7,ai_found_drug,8,infrared light therapy|red light therapy|acetaminophen|cbg|tylenol|vitamin d|diphenhydramine|cbd,positive|positive|positive|positive|positive|positive|positive|positive,weak|weak|moderate|strong|moderate|weak|weak|strong,yes
irr-pilot-162,hkcsva7,ai_found_drug,1,choline,positive,strong,no
irr-pilot-163,hjdmtmv,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-164,hl5bnc6,no_ai_drug_random,0,,,,no
irr-pilot-165,hl1julp,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-166,hpqecjj,no_ai_drug_random,0,,,,no
irr-pilot-167,hkretro,ai_found_drug,3,nuun tablets|trioral|electrolytes,positive|positive|positive,strong|strong|strong,no
irr-pilot-168,hm1c51a,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-169,hnulvrw,ai_found_drug,3,statins|magnesium|pfizer vaccine,positive|positive|positive,moderate|weak|weak,yes
irr-pilot-170,hjes95o,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-171,hl4etgy,no_ai_drug_random,0,,,,no
irr-pilot-172,hl9jq96,no_ai_drug_random,0,,,,no
irr-pilot-173,hkjfplb,ai_found_drug,1,nasal spray,positive,strong,no
irr-pilot-174,hmjf2g8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-175,hlttvfi,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-176,hk0ecnx,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-177,hoviccf,no_ai_drug_random,0,,,,no
irr-pilot-178,hk2bkgm,ai_found_drug,1,ppis,negative,strong,no
irr-pilot-179,hnnl9fj,no_ai_drug_random,0,,,,no
irr-pilot-180,hkdzk02,ai_found_drug,1,pfizer,negative,strong,no
irr-pilot-181,ro1rmx,no_ai_drug_random,0,,,,no
irr-pilot-182,hk2mpe9,ai_found_drug,1,vaccine,mixed,strong,no
irr-pilot-183,hkzdcdd,ai_found_drug,2,antacid|famotidine,positive|positive,weak|weak,yes
irr-pilot-184,hqfwdg5,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-185,hqcptir,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-186,hlapbgy,ai_found_drug,4,cannabinoid|cbc|gabapentin|cbd,positive|positive|negative|negative,strong|strong|strong|strong,yes
irr-pilot-187,hpdyw2p,no_ai_drug_random,0,,,,no
irr-pilot-188,hj95lcl,ai_found_drug,1,coq10,positive,strong,yes
irr-pilot-189,hkwxzxy,ai_found_drug,1,antiviral,positive,strong,no
irr-pilot-190,hp58yku,no_ai_drug_random,0,,,,no
irr-pilot-191,hngnwyz,ai_found_drug,2,grass fed butter|ghee,positive|positive,strong|strong,yes
irr-pilot-192,hl2hxes,ai_found_drug,5,pain relief pm|acetaminophen|hydroxyzine|melatonin|antihistamine,positive|positive|positive|negative|positive,weak|weak|moderate|weak|moderate,yes
irr-pilot-193,hkw5ihf,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-194,hk4vvf8,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-195,hnqp0mb,no_ai_drug_random,0,,,,no
irr-pilot-196,hpvklvh,ai_found_drug,3,sativa|indica|edibles,positive|negative|positive,strong|strong|strong,no
irr-pilot-197,hov0wcn,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-198,hmh4yef,ai_found_drug,1,supplements,positive,weak,yes
irr-pilot-199,hn5wxgh,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-200,hpbdpj8,ai_found_drug,1,drugs,positive,strong,no
irr-pilot-201,hp2lb12,ai_found_drug,1,magnesium,negative,weak,yes
irr-pilot-202,hor5lz8,ai_found_drug,2,low dose prednisone|prednisone,positive|positive,strong|strong,yes
irr-pilot-203,hnfajah,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-204,hjo5qrq,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-205,hjgojpw,ai_found_drug,1,antibiotics,negative,strong,no
irr-pilot-206,hk0upwi,ai_found_drug,1,antibiotics,negative,strong,yes
irr-pilot-207,hql8kea,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-208,hovepi5,no_ai_drug_random,0,,,,no
irr-pilot-209,hm40y1l,ai_found_drug,2,albuterol|inhaler,positive|positive,moderate|moderate,no
irr-pilot-210,hjss401,ai_found_drug,1,claritin,negative,strong,yes
irr-pilot-211,hnaf2qt,no_ai_drug_random,0,,,,no
irr-pilot-212,hmtgcfm,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-213,hlhrpjl,ai_found_drug,1,fexofenadine,positive,strong,yes
irr-pilot-214,hlcm5qq,ai_found_drug,1,shot,negative,weak,no
irr-pilot-215,hkq023p,no_ai_drug_random,0,,,,no
irr-pilot-216,hnkwot2,ai_found_drug,1,ox bile salts,positive,strong,no
irr-pilot-217,hjke2l2,no_ai_drug_random,0,,,,no
irr-pilot-218,hnhcdqg,ai_found_drug,1,gabapentin,positive,moderate,yes
irr-pilot-219,ho77f0o,ai_found_drug,1,tyrosine,positive,moderate,yes
irr-pilot-220,hm6rorz,ai_found_drug,1,heat pad,positive,moderate,yes
irr-pilot-221,hkdpv7h,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-222,hmmn1lm,ai_found_drug,10,oregano oil|eyebright|nettle|yellow dock|seamoss|bladderwrack|feverfew|burdock root|damiana|blue vervain,positive|positive|positive|positive|positive|positive|positive|positive|positive|positive,weak|weak|weak|weak|weak|weak|strong|weak|strong|strong,no
irr-pilot-223,hpfz374,ai_found_drug,1,glasses,positive,moderate,no
irr-pilot-224,hkayt5h,no_ai_drug_random,0,,,,no
irr-pilot-225,hk2mhuc,ai_found_drug,1,vaccine,positive,strong,no
irr-pilot-226,hou5oa8,ai_found_drug,2,atenolol|ssri,positive|positive,weak|strong,yes
irr-pilot-227,hptm28k,no_ai_drug_random,0,,,,no
irr-pilot-228,hk6sw3f,ai_found_drug,1,taurine,positive,weak,no
irr-pilot-229,hleq99k,ai_found_drug,1,gaba,positive,moderate,yes
irr-pilot-230,hm978sh,ai_found_drug,3,coconut milk|coconut cream|coconut oil,positive|positive|positive,moderate|moderate|moderate,no
irr-pilot-231,hk6p7mg,ai_found_drug,1,medication,positive,moderate,yes
irr-pilot-232,hqppenv,no_ai_drug_random,0,,,,no
irr-pilot-233,hl30m8g,no_ai_drug_random,0,,,,no
irr-pilot-234,hlnk7v2,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-235,hoauz2f,ai_found_drug,2,inflammation killer|steroids,positive|mixed,moderate|moderate,no
irr-pilot-236,hjsktny,ai_found_drug,2,motion sickness pills|meclizine,positive|positive,strong|weak,no
irr-pilot-237,hlxtx7y,ai_found_drug,1,blood pressure meds,positive,weak,no
irr-pilot-238,hqqmsjs,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-239,hq41yhp,ai_found_drug,1,nac,positive,strong,yes
irr-pilot-240,hkidr8y,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-241,hiy8ic6,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-242,hpq2t3k,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-243,hnvn0cb,ai_found_drug,1,metoprolol,positive,weak,yes
irr-pilot-244,hopbji8,ai_found_drug,1,antibiotics,negative,moderate,no
irr-pilot-245,hmcb6mk,no_ai_drug_random,0,,,,no
irr-pilot-246,hj8qvmp,no_ai_drug_random,0,,,,no
irr-pilot-247,hk0wmz6,ai_found_drug,1,melatonin,negative,strong,yes
irr-pilot-248,hqji9de,ai_found_drug,1,ibuprofen,positive,weak,yes
irr-pilot-249,hjtmd0d,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-250,hordmmv,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-251,hj9ijv2,ai_found_drug,1,nasal spray,mixed,weak,no
irr-pilot-252,hjt3213,ai_found_drug,2,tums|omeprazole,positive|positive,weak|weak,no
irr-pilot-253,hnb2sty,ai_found_drug,2,famotidine|h2 blocker,mixed|mixed,moderate|moderate,yes
irr-pilot-254,hlq0y7g,ai_found_drug,1,metoclopramide,positive,strong,yes
irr-pilot-255,hlzmq5s,ai_found_drug,1,omeprazole,negative,strong,yes
irr-pilot-256,hjznxqr,no_ai_drug_random,0,,,,no
irr-pilot-257,hq7lc7g,no_ai_drug_random,0,,,,no
irr-pilot-258,hkrfxsv,no_ai_drug_random,0,,,,no
irr-pilot-259,hp9mz88,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-260,hqpjf2h,ai_found_drug,1,vitamin b12,negative,moderate,yes
irr-pilot-261,hox2ph0,ai_found_drug,1,pfizer vaccine,neutral,weak,no
irr-pilot-262,hmpnnso,ai_found_drug,1,flu shot,positive,strong,no
irr-pilot-263,hpq35wx,ai_found_drug,3,inhalers|famotidine|fexofenadine,negative|positive|positive,strong|strong|strong,yes
irr-pilot-264,hqgv5xi,ai_found_drug,2,aspirin|antihistamine,positive|positive,strong|moderate,yes
irr-pilot-265,ho82ri7,ai_found_drug,1,pfizer,negative,moderate,no
irr-pilot-266,hk3opyh,ai_found_drug,1,mrna vaccine,positive,moderate,no
irr-pilot-267,hnwxg3z,ai_found_drug,1,tylenol,positive,strong,yes
irr-pilot-268,hq3rf5a,ai_found_drug,2,steroids|prednisone,positive|positive,strong|strong,yes
irr-pilot-269,hmlkwnp,no_ai_drug_random,0,,,,no
irr-pilot-270,hotpn09,ai_found_drug,1,metoprolol,positive,moderate,no
irr-pilot-271,qrap3v,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-272,hjm675f,ai_found_drug,1,melatonin,positive,moderate,yes
irr-pilot-273,hpx6ad7,ai_found_drug,1,pfizer,mixed,strong,yes
irr-pilot-274,hn625kj,ai_found_drug,1,therapist,positive,moderate,yes
irr-pilot-275,hpixpz9,no_ai_drug_random,0,,,,no
irr-pilot-276,hndfnfq,ai_found_drug,1,methylprednisolone,positive,strong,yes
irr-pilot-277,hn5jp21,no_ai_drug_random,0,,,,no
irr-pilot-278,hjynovb,ai_found_drug,1,potassium,positive,weak,no
irr-pilot-279,hmxsily,ai_found_drug,1,edibles,positive,moderate,no
irr-pilot-280,hql6meo,ai_found_drug,1,blood pressure medication,positive,moderate,no
irr-pilot-281,hk6ft3m,ai_found_drug,3,oral rehydration solution|liquid iv|trioral,positive|positive|positive,strong|strong|strong,no
irr-pilot-282,hkauntx,ai_found_drug,1,low histamine probiotic,positive,strong,yes
irr-pilot-283,hqevxfy,ai_found_drug,1,natural antihistamine,positive,weak,yes
irr-pilot-284,hq7nk3l,ai_found_drug,1,phgg,positive,strong,no
irr-pilot-285,hp75h8r,ai_found_drug,1,shilajit,positive,weak,no
irr-pilot-286,hkr4vsn,ai_found_drug,1,antihistamine,positive,weak,yes
irr-pilot-287,hmh340e,ai_found_drug,1,inhaler,mixed,moderate,yes
irr-pilot-288,hn5qqmu,ai_found_drug,1,pt,positive,weak,yes
irr-pilot-289,hq2vuc8,ai_found_drug,1,melatonin,negative,strong,yes
irr-pilot-290,hnhbihd,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-291,raav77,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-292,hm0ogwk,ai_found_drug,2,anti-autoimmune|low dose naltrexone,positive|positive,strong|strong,yes
irr-pilot-293,hlegr9u,ai_found_drug,1,vaccine,mixed,moderate,yes
irr-pilot-294,hjmdrfx,no_ai_drug_random,0,,,,no
irr-pilot-295,hmrtjgy,ai_found_drug,6,mct oil|frankincense essential oil|brain vitamins|acai|antioxidants|vitamin c,positive|positive|positive|positive|positive|positive,weak|strong|weak|weak|weak|weak,yes
irr-pilot-296,hl9shch,ai_found_drug,1,nac,negative,strong,yes
irr-pilot-297,hlbs5va,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-298,qlnee1,ai_found_drug,1,amoxicillin,negative,strong,yes
irr-pilot-299,hkvtc0w,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-300,hjpbq5w,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-301,hl6ae7f,ai_found_drug,1,pfizer,mixed,strong,no
irr-pilot-302,hke4j40,ai_found_drug,2,vitamin|niacin,positive|positive,moderate|weak,yes
irr-pilot-303,hk5jojx,no_ai_drug_random,0,,,,no
irr-pilot-304,hqmxafj,no_ai_drug_random,0,,,,no
irr-pilot-305,rhvzj0,ai_found_drug,1,thc,negative,strong,no
irr-pilot-306,hkxrp25,no_ai_drug_random,0,,,,no
irr-pilot-307,hki82tg,no_ai_drug_random,0,,,,no
irr-pilot-308,hoxelzl,no_ai_drug_random,0,,,,no
irr-pilot-309,hpd4hsv,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-310,hoc4gbw,no_ai_drug_random,0,,,,no
irr-pilot-311,hqne416,ai_found_drug,1,vaccine,negative,strong,no
irr-pilot-312,hjybeqh,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-313,hjgt65h,no_ai_drug_random,0,,,,no
irr-pilot-314,hpxqyfy,ai_found_drug,2,high dose vitamin d|vitamin d,positive|positive,strong|strong,yes
irr-pilot-315,hpuxvl7,ai_found_drug,1,vaccine,negative,weak,yes
irr-pilot-316,ho29jly,no_ai_drug_random,0,,,,no
irr-pilot-317,hpi7wzd,ai_found_drug,1,supplements,positive,weak,no
irr-pilot-318,hnc9j6p,ai_found_drug,1,hops,positive,weak,no
irr-pilot-319,hpdpxot,ai_found_drug,1,famotidine,positive,strong,yes
irr-pilot-320,hkhxc4k,ai_found_drug,1,moderna vaccine,negative,strong,no
irr-pilot-321,hpo210w,ai_found_drug,1,pfizer,negative,strong,no
irr-pilot-322,hqgs85w,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-323,hl0sek3,ai_found_drug,1,supplements,mixed,weak,yes
irr-pilot-324,ho871vr,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-325,ho69i3n,ai_found_drug,1,factor de transferencia,negative,moderate,no
irr-pilot-326,hk2n092,ai_found_drug,1,vaccine,mixed,moderate,no
irr-pilot-327,hj7utsd,ai_found_drug,2,glutathione|nac,negative|positive,moderate|weak,yes
irr-pilot-328,hof3728,ai_found_drug,1,spironolactone,negative,weak,no
irr-pilot-329,hkb8aq1,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-330,ho7fuo9,no_ai_drug_random,0,,,,no
irr-pilot-331,hqf6uz7,ai_found_drug,1,intermittent fasting,positive,moderate,no
